title_romaji,title_english,meanScore,R_expected,OI,Interpretation
Dou Po Cangqiong 2,Fights Break Sphere S2,76.0,62.423164114649765,13.576835885350235,Overrated
Thunderbolt Fantasy: Seiyuu Genka,Thunderbolt Fantasy - Bewitching Melody of the West,82.0,68.42917826206103,13.57082173793897,Overrated
Konchuu Monogatari: Shin Minashigo Hutch,The New Adventures of Hutch the Honeybee,66.0,52.436986328146546,13.563013671853454,Overrated
Kako ni Torawareteiru,Trapped in the Past,78.0,64.439971823422,13.560028176578001,Overrated
Toku: Touken Ranbu - Hanamaru - Setsugetsuka,TOUKEN RANBU HANAMARU Season 3,72.0,58.44125357160004,13.558746428399957,Overrated
Pokonyan!,Rocky Rackat!,73.0,59.441911960466854,13.558088039533146,Overrated
Oki ni Mesu mama,As You Like It,76.0,62.443280305047736,13.556719694952264,Overrated
Seitokai Yakuindomo＊ OVA,Seitokai Yakuindomo Season 2 OVA,77.0,63.45079816622893,13.549201833771072,Overrated
IDOLiSH7: Third BEAT!,IDOLiSH7 Third BEAT!,82.0,68.45766805340949,13.542331946590508,Overrated
Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,85.0,71.46898911074967,13.531010889250325,Overrated
Mao Zhi Ming 2,The Cat's Tea Season 2,70.0,56.484339777761235,13.515660222238765,Overrated
Yumekui Shirokuro Baku,Dream Eating Monochrome Baku,64.0,50.502265585434515,13.497734414565485,Overrated
Super Robot Taisen OG: Divine Wars Special,Super Robot Wars Original Generation: Divine Wars Special,72.0,58.51166377823036,13.488336221769643,Overrated
Shaonian Ge Xing: Haiwai Xianshan Pian,Great Journey of Teenagers 3rd Season,73.0,59.52631343922724,13.473686560772762,Overrated
Maria-sama ga Miteru: Haru - Maria-sama ni wa Naishou,Maria Watches Over Us: Printemps (Specials),67.0,53.53236340769017,13.46763659230983,Overrated
Shixiong A Shixiong 2,Big Brother 2,77.0,63.53596973057263,13.464030269427369,Overrated
Madeob Bus Tayo,Tayo and Little Wizards,58.0,44.541969798391314,13.458030201608686,Overrated
Kamichu! OVA,Kamichu! OVA,74.0,60.5464802044598,13.453519795540203,Overrated
Xingchen Bian,Legend of Immortals,73.0,59.55019469968029,13.44980530031971,Overrated
Tottemo! Luckyman,Tottemo! Luckyman,72.0,58.56001717330021,13.43998282669979,Overrated
Mahou no Tenshi Creamy Mami: Eien no Once More,Creamy Mami: Forever Once More,65.0,51.56137849442544,13.43862150557456,Overrated
Mazinkaiser,Mazinkaiser,73.0,59.58121123067126,13.418788769328742,Overrated
Erase,Erase,71.0,57.58892254948614,13.411077450513858,Overrated
Gintama°,Gintama Season 3,91.0,77.61939616208267,13.380603837917334,Overrated
HYURURIRAPAPPA,HYURURIRAPAPPA,80.0,66.61962675059989,13.380373249400108,Overrated
Shaonian Bai Ma Zui Chun Feng,The Young Brewmaster's Adventure,70.0,56.622507300308705,13.377492699691295,Overrated
Komaneko no Christmas: Maigo ni Natta Present,A Komaneko Christmas: The Lost Present,58.0,44.63939133710098,13.360608662899018,Overrated
Dahouji Yu Gongzhu Qun,Lighter&Princess Dress,70.0,56.641249000615126,13.358750999384874,Overrated
Cybot Robocchi,Robby the Rascal,70.0,56.65056145187923,13.349438548120773,Overrated
aiseki MOGOL GIRL,Glitzy Dolls Go Dating,56.0,42.694527951075,13.305472048924997,Overrated
Dianji Xiaozi 2,Electro Boy 2,55.0,41.71510007156893,13.284899928431066,Overrated
Re Boot,Re Boot,70.0,56.73131514231297,13.268684857687028,Overrated
Transparent Blue,Transparent Blue,71.0,57.731458374639324,13.268541625360676,Overrated
Soukyuu no Fafner: Dead Aggressor - THE BEYOND Part 2,Fafner THE BEYOND Part 2,74.0,60.816784374887774,13.183215625112226,Overrated
Hidamari Sketch x Honeycomb,Hidamari Sketch x Honeycomb,81.0,67.83631474980072,13.16368525019928,Overrated
gdgd Fairies 2,gdgd Fairies 2,69.0,55.844395546294116,13.155604453705884,Overrated
Fengzi Wuyu: Xian Luo Pian,The Story of Fengzhi Senla,66.0,52.854038663125145,13.145961336874855,Overrated
Shin Maple Town Monogatari: Palm Town-hen,Palm Town,70.0,56.86246666826767,13.137533331732328,Overrated
Xi Yangyang Yu Hui Tailang: Qi Si Miao Xiang Xi Yangyang,Pleasant Goat and Big Big Wolf: Smart Dodging,54.0,40.86604184040776,13.13395815959224,Overrated
Maria-sama ga Miteru: Maria-sama ni wa Naisho,Maria Watches Over Us (Specials),68.0,54.86811265171832,13.13188734828168,Overrated
Battle Spirits: Sword Eyes Gekitouden,Battle Spirits: Sword Eyes Fierce Battle Legend,68.0,54.88384259244037,13.116157407559633,Overrated
Change!! Getter Robo: Sekai Saigo no Hi,Getter Robo: Armageddon,78.0,64.89309472970443,13.10690527029557,Overrated
Nian Wushuang,A Moment but Forever,71.0,57.924805725233526,13.075194274766474,Overrated
Usavich II,Usavich II,62.0,48.9493985438616,13.050601456138402,Overrated
Mahoutsukai Precure!,Witchy Precure!,73.0,59.95150339242373,13.048496607576269,Overrated
Long She Yanyi,Dragon's Disciple,72.0,58.954906564071464,13.045093435928536,Overrated
Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,82.0,68.98080473225474,13.01919526774526,Overrated
